,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
0,0,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,1,"['k-pop', 'k-pop girl group']",5361467,(g)i-dle
279,601,220 KID,4Euia7UzdRshy1DJOSMTcs,0,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",20493,220 kid
14,30,2am,5SnaL8SsjGMHQNyqpa8Zos,1,"['k-pop', 'korean pop']",213314,2am
17,34,2NE1,1l0mKo96Jh9HVYONcRl3Yp,1,"['dance pop', 'k-pop', 'k-pop girl group']",2362793,2ne1
144,289, 365LIT,65LSFEqRhq074aUBF1zF2e,0,"['korean trap', 'korean underground rap']",5106,365lit
20,38,4Minute,6cdC1cwqh3eJAXaxXJt2jv,1,"['k-pop', 'k-pop girl group']",1085425,4minute
25,45,AB6IX,4y0wFJ5jmCUNRLZfsw1I7g,1,"['k-pop', 'k-pop boy group']",535314,ab6ix
81,149,ABLE,0Y669kGV5Gru5RaumXTxtV,0,[],17326,able
402,870, aespa,6YVMFz59CuY7ngCxTxjpxE,0,['k-pop girl group'],2934608,aespa
32,62,After School,1loWI8jVk9btgJXHgqHXPD,1,"['k-pop', 'k-pop girl group']",335087,after school
397,864, Ahn Trio,30pbA4VKv3CuflgeJ8Diq0,0,['classical piano trio'],2272,ahn trio
346,758, Aki,7m8uqplhTME9fSFztWBjNV,0,[],0,aki
43,83,AKMU,6OwKE9Ez6ALxpTaKcT5ayv,1,"['k-pop', 'korean pop']",1286086,akmu
498,1092, Akon,0z4gvV4rjIZ9wHck67ucSV,0,['dance pop'],3669561,akon
470,1036, Alan Walker,7vk5e3vY1uw9plTHJAMwjN,0,['electro house'],37396506,alan walker
434,953,Alesso,4AVFqumd2ogHFlRbKIjp1t,0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",3921768,alesso
479,1055, Andrew Choi,7JBaynR7JFeniONqbnn1U4,0,[],251,andrew choi
1,1,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,0,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",10698373,anne-marie
287,627, Anthony Russo,6PFcrRZezCL5p9A0nwb7ki,0,['chill pop'],73084,anthony russo
282,613, ANYUJIN (IVE),3schR1HLbYu3RqqPDiDFrE,0,[],1601,anyujin (ive)
52,100,AOA,54gWVQFHf8IIqbjxAoOarN,1,"['k-pop', 'k-pop girl group']",703641,aoa
56,105,Apink,2uWcrwgWmZcQc3IPBs3tfU,1,"['k-pop', 'k-pop girl group']",1174739,apink
36,74, Ara,2jhwupQ3q8a1NbwfFhnszE,0,[],38,ara
463,1024, ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,0,"['edm', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",94691,armnhmr
153,311, ASH ISLAND,7IEhlwWQA7pCkEvzwwHehE,0,['k-rap'],231673,ash island
59,109,ATEEZ,68KmkJeZGfwe1OUaivBa2L,1,"['k-pop', 'k-pop boy group']",2781321,ateez
369,804,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,0,"['dance pop', 'pop']",5847711,ava max
95,176,B-BOMB,7KC0o9xFJZXim13nVLNH4c,0,[],815,b-bomb
513,1155, B-Free,5xHC23kCM6goKp7bDDXE3T,0,['k-rap'],22900,b-free
65,121,B.A.P,6kxCoNfY6U1eP0Yc88phvk,1,"['k-pop', 'k-pop boy group']",744821,b.a.p
321,716, B.I,0UntV1Bw2hk3fbRrm9eMP6,0,['k-pop'],630704,b.i
71,132,B1A4,3sxWOFw4MSN54SIQ8np6iG,1,"['k-pop', 'k-pop boy group']",565467,b1a4
429,932, B2K,51d3rUlLuMh7EW09aMe7yj,0,"['boy band', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",759919,b2k
