,name,id,top_kpop,genre,followers
0,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,0,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",10694051
1, MINNIE,2pHkxVNynHBwQHhGaoBIXX,0,[],64820
2, (G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,1,"['k-pop', 'k-pop girl group']",5350390
7, Steve Aoki,77AiFEVeAVj2ORpC85QVJs,0,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",3734938
14, R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,0,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",2456469
21, Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,0,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",3333403
28,K/DA,4gOc8TsQed9eqnqJct2c5v,0,['k-pop girl group'],1889340
29, Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,0,"['alt z', 'dance pop', 'pop', 'post-teen pop']",5663968
31, Lexie Liu,6fs2or0cKLEM2xohWq8SoX,0,['chinese electropop'],123248
32, Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX,0,"['alt z', 'electropop', 'indie poptimism', 'pop', 'social media pop']",419271
33, Seraphine,4TqlcgMFDryY96KWcvrhTv,0,[],111041
34, League of Legends,47mIJdHORyRerp4os813jD,0,"['speedrun', 'video game music']",1580241
37, Wolftyla,7qd6KGoABHifvXKeFNe2Yb,0,['trap queen'],61447
38, Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,0,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show']",2933344
49,The Chosen,4zaS9mItqCC5OQpML2VDu2,0,[],12573
50, Siilva,1Ju0lsag81P0VNBByS6R23,0,[],1316
51, 2am,5SnaL8SsjGMHQNyqpa8Zos,1,"['k-pop', 'korean pop']",213194
56, m-flo,4UhiMIdxKqQxmzdE9nYe6O,0,"['j-pop', 'japanese r&b']",327675
63, BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,1,"['k-pop', 'k-pop boy group']",5062575
70, Manager,7o4KDqFA1r5ddafrK5hgmt,0,[],98
77, 매니저,6D0QAIqxtLK7aeiQzdvQUb,0,[],16
84,DONGHAE,5X9KszkeEZd6c9wxRhucbV,0,[],1451
85, RYEOWOOK,0fwfMuz3AmWRy2pyM5fDRo,0,"['k-pop', 'korean pop']",201925
91, Reiley,1nHcGkMVml7a44TVwfrAN8,0,[],11406
98,JEON WOONG,7HkRTmxvjlJxL3lEOSxpqN,0,[],46661
99, AB6IX,4y0wFJ5jmCUNRLZfsw1I7g,1,"['k-pop', 'k-pop boy group']",535207
105,KIM DONG HYUN,6NuAIYZptWXWUCAInxX6PU,0,[],31621
112,LEE DAE HWI,5j4ZfrjfKJhMBbDgTFxIwB,0,[],83432
119,LIM YOUNG MIN,7s72t76jrvQLHUiYraBSZ0,0,[],36425
126,PARK WOO JIN,0kS1oLtVdBidgH2aKloRKR,0,['k-pop'],129763
133, Blackpink,1Gf3SzkXoUvEbixB7LUw6v,0,[],20867
134, Tara,24JAAnBviO3vTMZ5N9taj8,0,['cook islands pop'],2631
154,Son Dam Bi,3cCbcs6r1Lma7MfEjyfCGU,0,['classic k-pop'],12914
155, After School,1loWI8jVk9btgJXHgqHXPD,1,"['k-pop', 'k-pop girl group']",334810
156, Ara,2jhwupQ3q8a1NbwfFhnszE,0,[],38
157, Dong Ho,7JlxObEsleDXA54OFIl9zj,0,[],1
158, Hye Rim,37qp8U9zJIHh4UseRqcqX2,0,[],55
159, Jung Hyun,2t6BljQxB8MLiky7GjkLYd,0,[],8
160, Minhyun,7BwZlhJRHC1oVJr8lTxSLf,0,[],54190
162, KAHI,04C0MPapc1HXpTbspJhmWg,0,[],0
163, Jung AH,1SYHnHX97OjM7hHhxlAq1T,0,[],0
168, Lee Sun Hee,4ZQVfuvon3XnGYkjTSey1O,0,"['classic korean pop', 'korean pop']",43998
175, IU,3HqSLMAZ3g3d5poNaI7GOU,1,['k-pop'],7869815
182, Zion.T,5HenzRvMtSrgtvU16XAoby,0,"['k-pop', 'k-rap', 'korean r&b']",562378
189, Beenzino,7IrDIIq3j04exsiF3Z7CPg,0,"['k-indie', 'k-rap', 'korean r&b']",209653
196, CHOI JUNG HOON of JANNABI,5Fa7oN67rqbrgxbRVux7F4,0,[],1591
203, Crush,6aLdhHUqgdKE86xbtNmY8g,0,"['k-pop', 'korean r&b']",1113382
210, Sam Kim,4BBN286rBKyCWsSPq2cxYO,0,"['chill r&b', 'k-pop', 'korean pop', 'korean r&b']",419238
217,Yang Hee Eun,0BD74hBusWzcPz44wFskYb,0,"['classic korean pop', 'korean singer-songwriter']",10594
218, AKMU,6OwKE9Ez6ALxpTaKcT5ayv,1,"['k-pop', 'korean pop']",1285689
224,Park Bom,3uHb6dRazmcaT15bMexUtt,1,[],136550
225, CHEETAH,6ftZYkensUYXNiMM7nFwhE,0,['k-rap'],40865
231, Takanori Nishikawa T.M.Revolution,0pPQ5V1o6LrB7wdt9yzUkM,0,[],626
238,Huh Gak,49vOeJAPxAz6YmVZPNM7ys,0,"['k-pop', 'korean pop']",85707
239, Apink,2uWcrwgWmZcQc3IPBs3tfU,1,"['k-pop', 'k-pop girl group']",1174098
240, VICTON,0ziR2zN0NFcB4x1G3P8cW3,0,"['k-pop', 'k-pop boy group']",865458
245,Pentatonix,26AHtbjWKiwYzsoGoUZq53,0,['a cappella'],3551508
246, ATEEZ,68KmkJeZGfwe1OUaivBa2L,1,"['k-pop', 'k-pop boy group']",2778589
252,Kim Jong Kook,60YNqzrSj7rJkuqHkpHPqG,0,['korean pop'],104472
259, SEAN OH,7lCMxLzay3subrSfwEcZxc,0,[],86
266, SPACECOWBOY,58Y3mQTF2ToepXQaS0RCIV,0,[],36
273, Buddy,74zjHeFm4yooE7SuemoFan,0,['partyschlager'],5357
280,Young Jae (B.A.P),54JXhmpGDN8NdAIq44z4gt,0,[],4477
281, Zelo,7F204LAlfQltTujbEj9wvu,0,[],3006
287,JONG UP (B.A.P),0sSAFVekiDtX7PXDQvHnlK,0,[],5779
294,DAE HYUN (B.A.P),1htPJUlogkZBjbKp86uuLF,0,[],6846
301, Song Ji Eun,0D40an6y5Cv6sRzMGsRRQ8,0,['k-pop'],102362
308, OH MY GIRL,2019zR22qK2RBvCqtudBaI,1,"['k-pop', 'k-pop girl group']",1647702
309, ONF,0eEhOgZ2x6kv8kLz77WO7b,0,"['k-pop', 'k-pop boy group']",599116
322, SUNMI,6MoXcK2GyGg7FIyxPU5yW6,0,['k-pop'],2600840
329, BTOB,4pjFNcqv916MlWsAXaHAHe,0,[],9
336,YOON DU JUN,0bjyZMw6TzPhXSp2PoKXx7,0,[],9737
337, Son Dong Woon,5UzpNJd6zHGN9syxBN8fRY,0,[],13064
343,Yong Jun Hyung,4drjiBRSqZoTD67xgZCmNo,0,[],49743
344, Yang Yoseob,1fwMtpwCEJovQuyxSuHcAd,0,"['k-pop', 'korean pop']",54723
350,ABLE,0Y669kGV5Gru5RaumXTxtV,0,[],17310
351, LEEGIKWANG,3CC7p9QM4VjO62rmcaRP3z,0,[],66004
357,GD&TOP,3e3oLJehq4vQl2H0FAJnvn,0,"['k-pop', 'k-rap']",601497
358, Park Bom,3uHb6dRazmcaT15bMexUtt,1,[],136550
364,TAEYANG,6udveWUgX4vu75FF0DTrXV,0,['korean r&b'],974377
365, G-DRAGON,30b9WulBM8sFuBo17nNq9c,0,"['k-pop', 'k-rap']",2863769
378, Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0,"['dance pop', 'pop', 'post-teen pop']",41111441
385,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,0,"['art pop', 'dance pop', 'pop']",25728822
386, BLACKPINK,41MozSoPIsD1dJM0CLPjZF,1,"['k-pop', 'k-pop girl group']",38883111
392,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0,"['dance pop', 'pop', 'uk pop']",39151455
399, CHANMINA,2vjeuQwzSP5ErC1S41gONX,0,"['j-rap', 'josei rap']",572223
406, Keita,4Sp0k5cY12SKnOGUghMljj,0,[],150
413, KEN THE 390,1tcHKxlx0TZ6MkHGO4QYv3,0,['j-rap'],40993
420, Naoko Tanaka,2CfxaAgevavjDFRRghjSVt,0,[],170
427,B-BOMB,7KC0o9xFJZXim13nVLNH4c,0,[],814
428, U-KWON,1dpFCgmBpElH7pcsfSfXqG,0,[],23941
