characterID,Name,Family,Region,Chapters,Team,isDead,isCaptured,isHurt,title,prefix
1012,Luton,,North,25,Bolton (Lannister),0,0,0,,
1393,Reek,,North,3,Bolton (Lannister),0,0,0,,
1867,Yellow Dick,,North,1,Bolton (Lannister),0,0,0,,
1486,Roose Bolton,Bolton,North,1,Bolton (North),0,0,0,,
1371,Ramsay Snow,Snow,North,7,Bolton (North),0,0,0,,
1755,Vargo Hoat,Hoat,Essos,12,Brave Companions,0,0,0,,
768,Iggo,,Essos,4,Brave Companions,0,0,0,,
1327,Pyg,,Westerlands,2,Brave Companions,0,0,0,,
1358,Qyburn,,Westerlands,18,Brave Companions,0,0,0,maester,Maester 
1554,Shagwell,,Westerlands,9,Brave Companions,0,0,0,,
1659,Timeon,,Dorne,44,Brave Companions,0,0,0,,
1749,Utt,,Westerlands,15,Brave Companions,0,0,0,septon,Septon 
1673,Tom of Sevenstreams,,Riverlands,98,Brotherhood without Banners,0,0,0,,
319,Colemon,,Vale,7,Citadel,0,0,0,maester,Septon 
1280,Pate,,Westerlands,37,Citadel,0,0,0,,
438,Khal Drogo,,Essos,98,Drogo,0,0,0,khal,Khal 
775,Irri,,Essos,18,Drogo,0,0,0,,
825,Jhiqui,,Essos,9,Drogo,0,0,0,,
826,Jhogo,,Essos,73,Drogo,0,0,0,bloodrider,
1337,Qotho,,Essos,13,Drogo,0,0,0,,
1339,Quaro,,Essos,4,Drogo,0,0,0,,
731,Hizdahr zo Loraq,,Essos,1,Essos,0,0,0,,
1965,Khrazz,,Essos,3,Essos,0,0,0,,
907,Kraznys mo Nakloz,,Essos,15,Essos,0,0,0,,
1145,Mirri Maz Duur,,Essos,5,Essos,0,0,0,Maegi,
1276,Oznak zo Pahl,,Essos,8,Essos,0,0,0,,
1338,Quaithe,,Essos,19,Essos,0,0,0,,
2037,Yurkhaz zo Yunzak,,Essos,1,Essos,0,0,0,,
791,Jaqen H'ghar,,Essos,8,Faceless Men,0,0,0,,
902,Kindly Man,,Essos,26,Faceless Men,0,0,0,,
1888,First High Septon (the fat one),,Crownlands,18,Faith,0,0,0,high septon,High Septon 
1403,Rhaegar Frey,Frey,Riverlands,8,Frey (Lannister),0,0,0,,
1619,Symond Frey,Frey,Riverlands,10,Frey (Lannister),0,0,0,,
1723,Tytos Frey,Frey,Riverlands,4,Frey (Lannister),0,0,0,knight,Ser 
570,Garse Goodbrook,Goodbrook,Riverlands,1,Frey (Lannister),0,0,0,knight,Ser 
7,Aegon Frey (Jinglebell),Frey,Riverlands,9,Frey (North),0,0,0,,
311,Cleos Frey,Frey,Riverlands,8,Frey (North),0,0,0,,
501,Emmon Frey,Frey,Riverlands,3,Frey (North),0,0,0,,
744,Hosteen Frey,Frey,Riverlands,6,Frey (North),0,0,0,knight,Ser 
792,Jared Frey,Frey,Riverlands,7,Frey (North),0,0,0,knight,Ser 
1137,Merrett Frey,Frey,Riverlands,10,Frey (North),0,0,0,,
1384,Raymund Frey,Frey,Riverlands,8,Frey (North),0,0,0,knight,Ser 
1514,Ryman Frey,Frey,Riverlands,28,Frey (North),0,0,0,knight,Ser 
1598,Stevron Frey,Frey,Riverlands,8,Frey (North),0,0,0,knight,Ser 
1664,Tion Frey,Frey,Riverlands,3,Frey (North),0,0,0,,
975,Walder Frey,Frey,Riverlands,1,Frey (North),0,0,0,Lord of the Crossing,Lord 
1782,Walder Frey (Little),Frey,Riverlands,8,Frey (North),0,0,0,,
1536,Sawane Botley,Botley,Iron Islands,2,Greyjoy,0,0,0,Lord of Lordsport,Lord 
1893,Dagon Codd,Codd,Iron Islands,17,Greyjoy,0,0,0,,
25,Aeron Greyjoy,Greyjoy,Iron Islands,2,Greyjoy,0,0,0,priest of the Drowned God,
138,Asha Greyjoy,Greyjoy,Iron Islands,7,Greyjoy,0,0,0,,
154,Balon Greyjoy,Greyjoy,Iron Islands,3,Greyjoy,0,0,0,Iron King,King 
521,Euron Greyjoy,Greyjoy,Iron Islands,1,Greyjoy,0,0,0,,
1648,Theon Greyjoy,Greyjoy,Iron Islands,2,Greyjoy,0,0,0,,
1763,Victarion Greyjoy,Greyjoy,Iron Islands,4,Greyjoy,0,0,0,Lord captain of the Iron Fleet,Lord
1894,Adrack Humble,Humble,Iron Islands,1,Greyjoy,0,0,0,,
1369,Ralf Kenning,Kenning,Iron Islands,8,Greyjoy,0,0,0,,
333,Cragorn,,Iron Islands,11,Greyjoy,0,0,0,,
1963,Kerwin,,Iron Islands,5,Greyjoy,0,0,0,,
831,Joffrey Baratheon,Baratheon,Stormlands,12,Lannister,0,0,0,prince,Prince 
1195,Myrcella Baratheon,Baratheon,Stormlands,8,Lannister,0,0,0,princess,Princess 
1676,Tommen Baratheon,Baratheon,Stormlands,11,Lannister,0,0,0,,
1501,Rupert Brax,Brax,Westerlands,8,Lannister,0,0,0,,
152,Balman Byrch,Byrch,Crownlands,10,Lannister,0,0,0,knight,Ser 
1528,Sandor Clegane,Clegane,Westerlands,7,Lannister,0,0,0,member of the King's Guard,
1465,Roland Crakehall,Crakehall,Westerlands,1,Lannister,0,0,0,Lord of Crakehall,Lord 
55,Allar Deem,Deem,Crownlands,2,Lannister,0,0,0,,
105,Antario Jast,Jast,Westerlands,7,Lannister,0,0,0,Lord of House Jast,Lord 
295,Cersei Lannister,Lannister,Westerlands,12,Lannister,0,0,0,Queen of Westeros,Queen 
785,Jaime Lannister,Lannister,Westerlands,25,Lannister,0,0,0,knight of the King's guard,Ser 
900,Kevan Lannister,Lannister,Westerlands,8,Lannister,0,0,0,knight,Ser 
922,Lancel Lannister,Lannister,Westerlands,6,Lannister,0,0,0,,
1584,Stafford Lannister,Lannister,Westerlands,4,Lannister,0,0,0,,
1727,Tywin Lannister,Lannister,Westerlands,3,Lannister,0,0,0,,
1843,Willem Lannister,Lannister,Westerlands,6,Lannister,0,0,0,,
93,Amory Lorch,Lorch,Westerlands,5,Lannister,0,0,0,knight,Ser 
2,Addam Marbrand,Marbrand,Westerlands,6,Lannister,0,0,0,knight,Ser 
1251,Orton Merryweather,Merryweather,Reach,4,Lannister,0,0,0,Lord of Longtable,Lord 
531,Falyse Stokeworth,Stokeworth,Crownlands,1,Lannister,0,0,0,,
966,Lollys Stokeworth,Stokeworth,Crownlands,2,Lannister,0,0,0,,Lady 
1021,Lymond Vikary,Vikary,Westerlands,39,Lannister,0,0,0,knight,Ser 
303,Chiswyck,,Westerlands,5,Lannister,0,0,0,,
1312,Polliver,,Westerlands,7,Lannister,0,0,0,,
1326,Pycelle,,Crownlands,9,Lannister,0,0,0,grand maester,Grand Maester 
1361,Rafford,,Westerlands,15,Lannister,0,0,0,,
1546,Senelle,,Westerlands,8,Lannister,0,0,0,,
1622,Taena of Myr,,Essos,1,Lannister,0,0,0,,
1656,Tickler,,Westerlands,6,Lannister,0,0,0,,
1812,Weese,,Riverlands,13,Lannister,0,0,0,,
1303,Petyr Baelish,Baelish,Vale,28,Littlefinger,0,0,0,Master of the coin,Lord 
987,Lothor Brune,Brune,Crownlands,1,Littlefinger,0,0,0,,
1257,Osmund Kettleblack,Kettleblack,Crownlands,1,Littlefinger,0,0,0,,
1259,Osney Kettleblack,Kettleblack,Crownlands,6,Littlefinger,0,0,0,,
1033,Lysa Tully,Tully,Riverlands,6,Littlefinger,0,0,0,lady,Lady 
597,Gerris Drinkwater,Drinkwater,Dorne,8,Martell,0,0,0,,
110,Areo Hotah,Hotah,Dorne,7,Martell,0,0,0,captain,Captain 
113,Arianne Martell,Martell,Dorne,7,Martell,0,0,0,,Lady 
431,Doran Martell,Martell,Dorne,3,Martell,0,0,0,prince,Prince 
483,Elia Martell,Martell,Dorne,11,Martell,1,0,0,,Lady 
1225,Oberyn Martell,Martell,Dorne,7,Martell,0,0,0,prince,Prince 
1351,Quentyn Martell,Martell,Dorne,2,Martell,0,0,0,prince,Prince 
1219,Nymeria,,Dorne,2,Martell,0,0,0,,Lady 
1553,Shagga,,Vale,7,Mountain clans,0,0,0,,
1660,Timett,,Vale,6,Mountain clans,0,0,0,,
777,Jack Bulwer,Bulwer,Reach,4,Night Watch,0,0,0,,
782,Jafer Flowers,Flowers,Reach,6,Night Watch,1,0,0,,
575,Garth Greyfeather,Greyfeather,Wall,40,Night Watch,0,0,0,,
1234,Ollo Lophand,,Essos,16,Night Watch,0,0,0,,
237,Bowen Marsh,Marsh,North,15,Night Watch,0,0,0,,
808,Jeor Mormont,Mormont,North,71,Night Watch,0,0,0,Lord Commander of the Night Watch,Lord Commander 
418,Donal Noye,Noye,Stormlands,14,Night Watch,0,0,0,,
331,Cotter Pyke,Pyke,Wall,3,Night Watch,0,0,0,,
1808,Waymar Royce,Royce,Vale,1,Night Watch,0,0,0,knight,Ser 
793,Jaremy Rykker,Rykker,Crownlands,9,Night Watch,0,0,0,knight,Ser 
194,Benjen Stark,Stark,North,5,Night Watch,0,0,0,,
1527,Samwell Tarly,Tarly,Reach,71,Night Watch,0,0,0,,
NA,Alliser Thorne,Thorne,Crownlands,,Night Watch,,,,,
458,Eddison Tollett,Tollett,Vale,3,Night Watch,0,0,0,,
1045,Aemon,,Targaryen,10,Night Watch,0,0,0,maester,Maester 
300,Chett,,Riverlands,10,Night Watch,0,0,0,,
381,Dareon,,Reach,2,Night Watch,0,0,0,,
414,Dirk,,Wall,17,Night Watch,0,0,0,,
450,Dywen,,Wall,7,Night Watch,0,0,0,,
452,Ebben,,Wall,24,Night Watch,0,0,0,,
557,Gared,,Wall,5,Night Watch,0,0,0,,
630,Grenn,,Wall,1,Night Watch,0,0,0,,
669,Hake,,Wall,7,Night Watch,0,0,0,,
670,Hal,,Wall,14,Night Watch,0,0,0,,
929,Lark,,Vale,2,Night Watch,0,0,0,,
1267,Othor,,Wall,5,Night Watch,0,0,0,,
1295,Paul,,Wall,11,Night Watch,0,0,0,,
1329,Pypar,,Wall,8,Night Watch,0,0,0,,
1335,Qhorin Halfhand,,Wall,3,Night Watch,0,0,0,,
1513,Ryles,,Wall,1,Night Watch,1,0,0,,
1535,Satin,,Reach,11,Night Watch,0,0,0,,
1580,Softfoot,,Wall,84,Night Watch,0,0,0,,
1825,Will,,Wall,3,Night Watch,0,0,0,,
1873,Yoren,,Wall,6,Night Watch,0,0,0,,
409,Dick Crabb,Crabb,Crownlands,13,none,0,0,0,,
968,Lommy Greenhands,Greenhands,Crownlands,46,none,0,0,0,,
685,Harlan Hunter,Hunter,Vale,8,none,0,0,0,knight,Ser 
771,Illyrio Mopatis,,Essos,3,none,0,0,0,,
862,Jorah Mormont,Mormont,North,4,none,0,0,0,knight,Ser 
224,Biter,,Crownlands,14,none,0,0,0,,
256,Bronn,,Crownlands,69,none,0,0,0,,
318,Coldhands,,Beyond Wall,4,none,0,0,0,,
586,Gendry,,Crownlands,28,none,0,0,0,,
747,Hot Pie,,Crownlands,17,none,0,0,0,,
917,Kyra,,North,1,none,0,0,0,,
1895,Oppo,,Essos,7,none,0,0,0,,
1296,Penny,,Essos,1,none,0,0,0,,
1488,Rorge,,Crownlands,8,none,0,0,0,,
1757,Varys,,Essos,8,none,0,0,0,Master of whisperers,Lord 
1122,Melisandre,,Essos,9,Red God,0,0,0,priestess of the Red God,
1653,Thoros of Myr,,Essos,1,Red God,0,0,0,,
1155,Moqorro,,Essos,2,Red God,0,0,0,priest of the Red God,
1396,Renly Baratheon,Baratheon,Stormlands,38,Renly,0,0,0,Lord of Storm's End,Lord 
500,Emmon Cuy,Cuy,Reach,5,Renly,0,0,0,,
650,Guyard Morrigen,Morrigen,Stormlands,8,Renly,0,0,0,knight,Ser 
328,Cortnay Penrose,Penrose,Stormlands,1,Renly,0,0,0,knight,Ser 
1429,Robar Royce,Royce,Vale,90,Renly,0,0,0,,
1373,Randyll Tarly,Tarly,Reach,1,Renly,0,0,0,Lord of Horn Hill,Lord 
255,Brienne of Tarth,Tarth,Stormlands,19,Renly,0,0,0,knight,Lady 
836,Jon Arryn,Arryn,Vale,14,Robert,1,0,0,Hand of the King,Lord 
1432,Robert Arryn,Arryn,Vale,26,Robert,0,0,0,,
1434,Robert Baratheon,Baratheon,Stormlands,1,Robert,0,0,0,King of Westeros,King 
234,Boros Blount,Blount,Crownlands,52,Robert,0,0,0,knight of the King's guard,Ser 
776,Jacelyn Bywater,Bywater,Crownlands,9,Robert,0,0,0,knight,Ser 
629,Gregor Clegane,Clegane,Westerlands,8,Robert,0,0,0,knight,Ser 
1382,Raymun Darry,Darry,Riverlands,43,Robert,0,0,0,lord of Darry,Lord 
204,Beric Dondarrion,Dondarrion,Stormlands,16,Robert,0,0,0,Lord of Blackhaven,Lord 
429,Dontos Hollard,Hollard,Crownlands,2,Robert,0,0,0,knight,Ser 
985,Lothar Mallery,Mallery,Crownlands,4,Robert,0,0,0,,
1058,Mandon Moore,Moore,Vale,1,Robert,0,0,0,knight of the King's guard,Ser 
137,Arys Oakheart,Oakheart,Reach,6,Robert,0,0,0,knight of the King's guard,
772,Ilyn Payne,Payne,Westerlands,82,Robert,0,0,0,knight,Ser 
1309,Podrick Payne,Payne,Westerlands,1,Robert,0,0,0,,
121,Aron Santagar,Santagar,Dorne,73,Robert,0,0,0,knight,Ser 
163,Barristan Selmy,Selmy,Stormlands,7,Robert,0,0,0,knight of the King's guard,Ser 
790,Janos Slynt,Slynt,Crownlands,13,Robert,0,0,0,Commander of the City Watch,Lord 
465,Edric Storm,Storm,Stormlands,1,Robert,0,0,0,,
155,Balon Swann,Swann,Stormlands,38,Robert,0,0,0,knight of the King's guard,Ser 
1140,Meryn Trant,Trant,Stormlands,4,Robert,0,0,0,knight of the King's guard,Ser 
605,Gladden Wylde,Wylde,Stormlands,1,Robert,0,0,0,,
161,Barra,,Crownlands,8,Robert,0,0,0,,
755,Hugh,,Vale,7,Robert,0,0,0,,
188,Ben Plumm,Plumm,Westerlands,23,Second Sons,0,0,0,,
1135,Mero,,Essos,6,Second Sons,0,0,0,,
1562,Shireen Baratheon,Baratheon,Stormlands,2,Stannis,0,0,0,,
1586,Stannis Baratheon,Baratheon,Stormlands,1,Stannis,0,0,0,Lord of Dragonstone,Lord 
48,Alester Florent,Florent,Reach,1,Stannis,0,0,0,Lord of Brightwater Keep,Lord 
143,Axell Florent,Florent,Reach,22,Stannis,0,0,0,knight,Ser 
1545,Selyse Florent,Florent,Reach,17,Stannis,0,0,0,lady,Lady 
754,Hubard Rambton,Rambton,Crownlands,15,Stannis,0,0,0,knight,Ser 
385,Davos Seaworth,Seaworth,Stormlands,3,Stannis,0,0,0,,
645,Guncer Sunglass,Sunglass,Stormlands,1,Stannis,0,0,0,Lord of Sweetport Sound,Lord 
142,Aurane Waters,Waters,Riverlands,2,Stannis,0,0,0,,
1046,Cressen,,Stormlands,57,Stannis,0,0,0,maester,Maester 
1520,Salladhor Saan,,Essos,37,Stannis,0,0,0,,
991,Lucas Blackwood,Blackwood,North,4,Stark,0,0,0,,
868,Jory Cassel,Cassel,North,17,Stark,0,0,0,captain,Captain 
1451,Rodrik Cassel,Cassel,North,8,Stark,0,0,0,,
1018,Lyman Darry,Darry,Riverlands,3,Stark,0,0,0,,
1754,Vardis Egen,Egen,Vale,8,Stark,0,0,0,,
1621,Syrio Forel,Forel,Essos,37,Stark,0,0,0,,
1441,Robett Glover,Glover,North,38,Stark,0,0,0,,
382,Daryn Hornwood,Hornwood,North,7,Stark,0,0,0,,
508,Eon Hunter,Hunter,Vale,8,Stark,0,0,0,,
120,Arnolf Karstark,Karstark,North,10,Stark,0,0,0,,
455,Eddard Karstark,Karstark,North,9,Stark,0,0,0,,
1420,Rickard Karstark,Karstark,North,5,Stark,0,0,0,Lord of Karhold,Lord 
1684,Torrhen Karstark,Karstark,North,83,Stark,0,0,0,,
420,Donella Manderly,Manderly,North,7,Stark,0,0,0,,Lady 
1857,Wylis Manderly,Manderly,North,13,Stark,0,0,0,knight,Ser 
1860,Wyman Manderly,Manderly,North,1,Stark,0,0,0,Lord of White Harbor,Lord 
345,Dacey Mormont,Mormont,North,7,Stark,0,0,0,,
818,Jeyne Poole,Poole,North,11,Stark,0,0,0,,
1758,Vayon Poole,Poole,North,8,Stark,0,0,0,,
832,Jojen Reed,Reed,North,32,Stark,0,0,0,,
1108,Meera Reed,Reed,North,16,Stark,0,0,0,,
1872,Yohn Royce,Royce,Vale,1,Stark,0,0,0,Lord of Runestone,Lord 
851,Jon Snow,Snow,North,4,Stark,0,0,0,,
136,Arya Stark,Stark,North,16,Stark,0,0,0,,Lady 
240,Bran Stark,Stark,North,25,Stark,0,0,0,,
243,Brandon Stark,Stark,North,22,Stark,0,0,0,,
456,Eddard Stark,Stark,North,16,Stark,0,0,0,Warden of the North,Lord 
1015,Lyanna Stark,Stark,North,4,Stark,1,0,0,lady,Lady 
1422,Rickard Stark,Stark,North,81,Stark,1,0,0,,
1426,Rickon Stark,Stark,North,14,Stark,0,0,0,,
1431,Robb Stark,Stark,North,7,Stark,0,0,0,,
1530,Sansa Stark,Stark,North,2,Stark,0,0,0,,Lady 
192,Benfred Tallhart,Tallhart,North,22,Stark,0,0,0,,
719,Helman Tallhart,Tallhart,North,10,Stark,0,0,0,knight,Ser 
265,Brynden Tully,Tully,Riverlands,91,Stark,0,0,0,knight,Ser 
287,Catelyn Tully,Tully,Riverlands,5,Stark,0,0,0,,Lady 
462,Edmure Tully,Tully,Riverlands,6,Stark,0,0,0,Lord Paramount of the Riverlands,Lord 
746,Hoster Tully,Tully,Riverlands,1,Stark,0,0,0,Lord Paramount of the Riverlands,Lord 
852,Jon Umber (Greatjon),Umber,North,2,Stark,0,0,0,Lord of Last Hearth,Lord 
822,Jeyne Westerling,Westerling,Westerlands,33,Stark,0,0,0,,Lady 
41,Alebelly,,North,1,Stark,0,0,0,,
298,Chayle,,North,3,Stark,0,0,0,septon,Septon 
708,Harwin,,North,19,Stark,0,0,0,,
736,Hodor,,North,4,Stark,0,0,0,,
760,Hullen,,North,8,Stark,0,0,0,,
1013,Luwin,,North,20,Stark,0,0,0,maester,Maester 
1142,Mikken,,North,7,Stark,0,0,0,,
1157,Mordane,,North,10,Stark,0,0,0,septa,Septa 
1186,Mycah,,North,6,Stark,0,0,0,,
1201,Nan,,North,6,Stark,0,0,0,,
1756,Varly,,North,20,Stark,0,0,0,,
344,Daario Naharis,,Essos,7,Stormcrows,0,0,0,,
1522,Sallor the Bald,,Essos,4,Stormcrows,0,0,0,captain,
1320,Prendahl na Ghezn,,Essos,77,Stormcrows,0,0,0,captain,
840,Jon Connington,Connington,Targaryen,19,Targaryen,0,0,0,Lord of Griffin's Roost,Lord 
130,Arthur Dayne,Dayne,Dorne,8,Targaryen,1,0,0,knight of the King's guard,Ser 
8,Aegon I Targaryen,Targaryen,Targaryen,15,Targaryen,1,0,0,King of the Seven Kingdoms,King 
12,Aegon Targaryen,Targaryen,Targaryen,12,Targaryen,1,0,0,prince,Prince 
20,Aemon Targaryen,Targaryen,Targaryen,33,Targaryen,1,0,0,,
27,Aerys II Targaryen,Targaryen,Targaryen,7,Targaryen,1,0,0,King of the Seven Kingdoms,King 
352,Daenerys Targaryen,Targaryen,Targaryen,3,Targaryen,0,0,0,,Lady 
1404,Rhaegar Targaryen,Targaryen,Targaryen,5,Targaryen,1,0,0,prince,Prince 
1411,Rhaenys Targaryen,Targaryen,Targaryen,23,Targaryen,1,0,0,Queen of Westeros,Queen 
1770,Viserys Targaryen,Targaryen,Targaryen,3,Targaryen,0,0,0,,
183,Belwas,,Essos,1,Targaryen,0,0,0,,
639,Groleo,,Essos,7,Targaryen,0,0,0,,
673,Haldon,,Essos,16,Targaryen,0,0,0,,
1146,Missandei,,Essos,23,Targaryen,0,1,0,,
1401,Reznak mo Reznak,,Essos,5,Targaryen,0,0,0,,
1406,Rhaego,,Targaryen,11,Targaryen,0,0,0,,
1573,Skahaz mo Kandaq,,Essos,4,Targaryen,0,0,0,,
2068,the Others,,Beyond Wall,2,the Others,0,0,0,,
1232,Olenna Redwyne,Redwyne,Reach,7,Tyrell,0,0,0,,Lady 
1294,Paxter Redwyne,Redwyne,Reach,2,Tyrell,0,0,0,Lord of the Arbor,Lord 
1890,Talbert Serry,Serry,Reach,12,Tyrell,0,0,0,knight,Ser 
565,Garlan Tyrell,Tyrell,Reach,11,Tyrell,0,0,0,,
970,Loras Tyrell,Tyrell,Reach,16,Tyrell,0,0,0,,
1035,Mace Tyrell,Tyrell,Reach,27,Tyrell,0,0,0,Lord of Highgarden,Lord 
1066,Margaery Tyrell,Tyrell,Reach,3,Tyrell,0,0,0,,Lady 
1840,Willas Tyrell,Tyrell,Reach,13,Tyrell,0,0,0,,
1716,Tyrion Lannister,Lannister,Westerlands,2,Tyrion,0,0,0,,
1552,Shae,,Westerlands,5,Tyrion,0,0,0,,
1719,Tysha,,Westerlands,10,Tyrion,0,0,0,,
1650,Thistle,,Beyond Wall,7,Wildling refugees,0,0,0,,
1057,Mance Rayder,Rayder,Beyond Wall,31,Wildlings,0,0,0,King beyond the wall,
51,Alfyn,,Beyond Wall,9,Wildlings,0,0,0,,
334,Craster,,Beyond Wall,2,Wildlings,0,0,0,,
369,Dalla,,Beyond Wall,2,Wildlings,0,0,0,,
603,Gilly,,Beyond Wall,2,Wildlings,0,0,0,,
1047,Mag Mar Tun Doh Weg,,Beyond Wall,9,Wildlings,0,0,0,,
1255,Osha,,Beyond Wall,1,Wildlings,0,0,0,,
1376,Rattleshirt,,Beyond Wall,7,Wildlings,0,0,0,,
1599,Stiv,,Beyond Wall,3,Wildlings,0,0,0,,
1604,Styr,,Beyond Wall,8,Wildlings,0,0,0,,
1681,Tormund,,Beyond Wall,1,Wildlings,0,0,0,,
1751,Val,,Beyond Wall,3,Wildlings,0,0,0,,
1753,Varamyr,,Beyond Wall,49,Wildlings,0,0,0,,
1811,Weeper,,Beyond Wall,8,Wildlings,0,0,0,,
1869,Ygritte,,Beyond Wall,1,Wildlings,0,0,0,,
