place,region,x,y
abandoned Wilding Village,beyond the wall,926,136
Acorn Hall,Riverlands,777,1227
Andalos,Essos,1517,1033
Astapor,Slaver's Bay,2670,1978
West of the Iron Islands,Iron Islands,161,1050
Barrowton,the North,652,709
Bitterbridge,the Reach,770,1524
Blackwater Bay,Crownlands,1021,1409
Braavos,Essos,1471,943
camp around the Twins,Riverlands,775,997
camp near the Trident,Riverlands,900,1158
Cape Wrath,Stormlands,1114,1704
Castle Black,the Wall,955,169
Castle Darry,Riverlands,939,1193
Castle Hayford,Crownlands,955,1370
Castle Rosby,Crownlands,1017,1326
Cave of Beric Dondarrion,Riverlands,987,1264
Cave of the Children of the Forest,beyond the wall,858,128
cavern in haunted forest,beyond the wall,822,108
Craster's Keep,beyond the wall,907,131
Deepwood Motte,the North,643,381
deserted wildling village,beyond the wall,1031,109
Dorne,Dorne,859,1876
Dothraki Sea,Essos,2774,1531
Dragonstone,Crownlands,1186,1295
Dragonstone (Essos),Essos,3021,1612
Dreadfort,the North,1024,467
Duskendale,Crownlands,1088,1284
Eastwatch,the Wall,1038,178
Encounter with the Brave Companions,Riverlands,904,1157
field outside of Pentos,Essos,1524,1378
Fishing village east of God's eye,Riverlands,926,1252
Fist of the First Men,beyond the wall,840,92
Gates of the Moon,the Vale,1022,1093
Ghoyan Drohe,Essos,1678,1401
Green Fork,Riverlands,938,1075
Greywater Watch,the North,787,788
Gulf of Grief,Slaver's Bay,2532,2169
Hammerhorn,Iron Islands,442,1044
Hardhome,beyond the wall,1075,58
Harrenhal,Riverlands,893,1222
Haunted Forest,beyond the wall,916,116
High Heart,Riverlands,789,1213
High Road (in Mountains of the Moon),the Vale,953,1153
High Road (near the Eyrie),the Vale,1016,1101
Holdfast on west shore of God's eye,Riverlands,873,1260
Inn of the Kneeling Man,Riverlands,791,1141
Inn south of the God's eye,Riverlands,900,1319
Isle of Cedars,Slaver's Bay,2662,1883
Khal Drogo's manse,Essos,1505,1385
King's Landing,Crownlands,1277,1642
"Kingsroad, a little north of King's Landing",Crownlands,984,1325
"kingsroad, north of Winterfell",the North,938,297
"kingsroad, south of Winterfell",the North,813,670
Lhazareen village,Essos,2868,1677
Little Finger,the Vale,1208,924
Lordsport,Iron Islands,484,1101
Lys,Essos,1393,1944
Maidenpool,Riverlands,1032,1251
Frostfangs,beyond the wall,789,107
Meereen,Slaver's Bay,2752,1752
Mill on Acorn Water,the North,793,563
Moat Cailin,the North,820,754
Mole's Town,the North,958,204
Mountains of the Moon,the Vale,1021,1117
Nagga's Hills,Iron Islands,423,1033
New Ghis,Slaver's Bay,2735,2350
Nightfort,the Wall,1033,171
North of Harrenhal,Riverlands,893,1195
North of Tumbledown tower,the North,746,352
Ny Sar,Essos,1753,1456
off the coast of Dorne,Dorne,1318,1874
off the coast of Valyria,Slaver's Bay,2309,2299
Old Crossroads Inn,Riverlands,929,1162
Old Wyk,Iron Islands,425,1035
Oldstones,Riverlands,752,1060
Oldtown,the Reach,485,1792
outside of Harrenhal,Riverlands,897,1209
Pebbleton,Iron Islands,458,1052
Pennytree,Riverlands,773,1162
Pentos,Essos,1487,1396
Pyke,Iron Islands,504,1093
Qarth,Essos,3535,2151
Queenscrown,the Wall,920,206
Quiet Isle,Riverlands,993,1207
Raventree Hall,Riverlands,735,1139
Red Fork,Riverlands,793,1145
Red Waste,Essos,3004,1812
Riverrun,Riverlands,732,1177
Saltpans,Riverlands,969,1196
Seagard,Riverlands,742,1024
Selhorys,Essos,1826,1782
Shield Islands,the Reach,479,1598
Skagos,the North,1183,195
Skirling pass,beyond the wall,801,94
Slaver's Bay,Slaver's Bay,2564,1879
south of Craster's Keep,beyond the wall,911,147
Stone Mill,Riverlands,770,1160
Stoney Sept,Riverlands,794,1313
Stony Shore,the North,404,593
Storm's end,Stormlands,1114,1585
Sunspear,Dorne,1208,1923
Ten Towers,Iron Islands,569,1070
The Crag,Westerlands,526,1194
the Eyrie,the Vale,1068,1062
the Greenblood,Dorne,1082,1910
The Peach Inn,Riverlands,790,1314
the Sorrows,Essos,1813,1642
the Twins,Riverlands,764,980
"The Wall, spot of first invasion",the Wall,911,166
the Whispers,Crownlands,1197,1214
Town held by Bloody Mummers,Riverlands,936,1181
Trident ferry,Riverlands,917,1174
Tumbledown tower,the North,714,472
Vaes Dothrak,Essos,3182,1210
Vaes Tolorro,Essos,3096,1826
Village between the lakes,the North,914,327
Village of lord Goodbrook,Riverlands,823,1199
Village that rests in the trees,Riverlands,845,1210
Volantis,Essos,1909,1926
Volon Therys,Essos,1874,1917
Water gardens,Dorne,1199,1932
Weirwood north of the Wall,beyond the wall,960,156
Whispering Wood,Riverlands,739,1190
White Harbor,the North,913,717
Whitetree,beyond the wall,930,156
Wilding ambush site,beyond the wall,812,92
Winterfell,the North,807,505
Wolfswood,the North,678,453
Yunkai,Slaver's Bay,2701,1812
Giant's stairs,beyond the wall,807,77
Milkwater,beyond the wall,788,71
Shadow Tower,the Wall,861,171
Torrhen's Square,the North,672,583
